key	en	official_zh	revised_zh
data.additional.glossary.wname.keeper	Keeper	暴击范围	暴击门槛
data.authored.mimic	MIMIC	拟态怪	拟形怪
data.authored.mimic.known	MIMIC, KNOWN	已识破拟态怪	拟形怪（已识破）
data.authored.the.chest.which.is.not.a.chest	the chest, which is not a chest	那只伪装成宝箱的怪物	那只不是宝箱的宝箱
data.bestiary.data.guild.notes.animated.armour.its.orders.are.its.whole.mind	Its orders are its whole mind, and the orders name a post. Draw it three paces off the post and its footwork stays behind; gather every rivet, for the rivets are the proof.	它全部心思都在命令里，而命令指定了一个岗位。引开三步，它的步法就会乱。每颗铆钉都要收起，那是击败它的凭据。	它全部心思都在命令里，而命令指定了一个岗位。把它引离岗位三步，它的步法便留在了原处。每颗铆钉都要收起，那是击败它的凭据。
data.bestiary.data.guild.notes.blank.scrivener.never.let.its.cold.hand.settle	Never let its cold hand settle, for a hand laid on is a record lifted: keep it at the pole's length and take it before it closes. Members carry a fair copy of their own papers sealed against the skin, that what it lifts may be entered again above. The blank margin is bought by the shred, dry.	别让冷手贴稳，一贴稳就会剥下记录。用长杆隔开，在近身前攻击。会员须贴身封存一份证件誊清本，以便回到上方重新登记被剥去的内容。空白页边按片收干货。	别让冷手贴稳，一贴稳就会剥下记录。用长杆隔开，在近身前攻击。会员须贴身封存一份证件誊清本，以便回到上方重新登记被剥去的内容。空白页边按片收购，须干燥。
data.bestiary.data.guild.notes.blankling.it.presses.close.to.take.the	It presses close to take the marks off you, so never let it set a hand: keep it at the pole's length and take it before it closes. Members report a working of the rites, spoken to name yourself aloud, keeps your own record while it strips at it. The smooth face is boxed and never handled bare.	它会贴近抹去你的印记，别让手碰上。用长杆隔开，在近身前攻击。会员报告，用仪式能力大声报出自己的姓名，能在它剥除时守住自己的记录。光滑的脸须装盒，禁止徒手触摸。	它会贴近抹去你的印记，别让手碰上。用长杆隔开，在近身前攻击。会员报告，用仪式术法大声报出自己的姓名，能在它剥除时守住自己的记录。光滑的脸须装盒，禁止徒手触摸。
data.bestiary.data.guild.notes.cast.off.apprentice.watch.the.left.hand.it.closes	Watch the left hand: it closes a heartbeat before every working lands, the master's own habit, poured true. Move upon the closing, and the working spends itself where you stood.	盯住左手，每次法术落下前一瞬它都会握拳，连主人的习惯也复制得分毫不差。握拳时移动，法术便落在你刚站的位置。	盯住左手，每次术法落下前一瞬它都会握拳，连主人的习惯也复制得分毫不差。握拳时移动，术法便落在你刚站的位置。
data.bestiary.data.guild.notes.chuul.it.takes.the.armoured.arm.first	It takes the armoured arm first, reckoning it the threat, so offer the shield-side and pay it in wood. The pincer opens at the joint to a pry-bar, and nothing else the Guild has shipped.	它认定披甲的手臂最危险，会先抓那里。将持盾一侧送过去，让它夹木头。只有撬棍能从关节处撑开螯钳，公会发过的其他工具都不行。	它认定披甲的手臂最危险，会先抓那里。将持盾一侧送上去，拿木头付账。只有撬棍能从关节处撑开螯钳，公会发过的其他工具都不行。
data.bestiary.data.guild.notes.debt.thrall.it.fights.to.bind.another.in	It fights to bind another in its place, so give it no purchase: keep the sprung shackle at pole's length and take the shoulder that drove the door. Break the term it drags and the thrall is a tired debtor again. Members are reminded the debtor was once somebody's line upon the Roll.	它要把别人绑到原位，别让它抓牢。用长杆将崩开的镣铐隔远，攻击当年撞门的肩膀。打断它拖着的刑期，奴仆就会重新变成疲惫的债徒。提醒会员，这债徒曾是荣誉名册上一个人的名字。	它要把别人绑到原位，别让它抓牢。用长杆将崩开的镣铐隔远，攻击当年撞门的肩膀。打断它拖着的债务条款，奴仆就会重新变成疲惫的债徒。谨提醒会员：这名债徒也曾是名册上某人的一行。
data.bestiary.data.guild.notes.kennel.thrall.shut.the.runs.behind.you.as	Shut the runs behind you as you come up, for the pack comes in when he is pressed. The bitten glove is bought as kennel work and carries the round of the runs stitched into its cuff.	上行时逐个关好身后的犬栏，养犬人受压迫时猎群就会涌来。被咬破的手套按犬舍制品收购，袖口上缝着犬栏的巡回路线。	上行时随手关好身后的犬栏，他一旦被逼急，犬群便会涌进来。被咬破的手套按犬舍活计收购，袖口里缝着各犬栏的巡查路线。
data.bestiary.data.guild.notes.last.debtor.it.fights.to.keep.the.last	It fights to keep the last count uncalled, so call it: press it toward the thing beneath, and it must stand between you and the count rather than come on. It is vast and slow, so keep the middle distance and spend the gaps. The final token is drawn from the fallen debt and entered under seal, the last such the Roll will take.	它要阻止最后的点数被喊出，那就喊出来。将它逼向地下之物，它就必须挡在你与计数之间，而不能继续进攻。它庞大迟缓，要保持中距离，利用空隙。最后的信物从倒下的债务身上取出，封好登记；这是荣誉名册接收的最后一件。	它要阻止最后一次计数被喊出，那就喊出来。将它逼向地下之物，它就必须挡在你与计数之间，而不能继续进攻。它庞大迟缓，要保持中距离，利用空隙。最后的信物从倒下的债务身上取出，封好登记；这是名册接收的最后一件。
data.bestiary.data.guild.notes.night.hag.she.comes.in.the.quiet.after	She comes in the quiet after a rest to press the count, so bind your wounds and break camp before she can seat herself. Keep the Old Things Off, held ready, keeps her reckoning from leaning on your sleep. The tooth is drawn cold and entered under bond, against the debt she claimed.	她会趁休息后的安静来催账，要在她坐下前包好伤口，收营离开。备好「驱逐古老亡者」，让她的账目压不到你的睡梦里。牙齿趁冷取下，按担保登记，抵她索要的债。	她会趁休息后的安静前来压数催计，要在她坐下前包好伤口，收营离开。备好「驱逐古老亡者」，让她的账目压不到你的睡梦里。牙齿趁冷取下，按担保登记，抵她索要的债。
data.bestiary.data.guild.notes.quasit.it.leaves.the.world.to.close	It leaves the world to close, so strike the air where it went rather than the ground where it stood. The wisp of sulphur is stoppered at once or it is gone before the counter.	它离开眼前世界来贴近。攻击它消失处的空气，别打它原来站过的地面。硫黄必须立即塞瓶封好，否则未到柜台便已散尽。	它会遁出世间以便欺近，因此攻击它消失处的空气，别打它原来站过的地面。硫黄必须立即塞瓶封好，否则未到柜台便已散尽。
data.bestiary.data.guild.notes.seal.keeper.it.fights.to.keep.the.seventh	It fights to keep the seventh seal from the striking, so make for the seventh: threaten the whole seal and it must stand before it rather than before you. The signet-die is heavy and slow, so take it on the turn. The die is drawn cold and entered under seal, the impression not to be taken.	它要守住第七道完整封印，就朝第七道去。威胁那道封印，它便必须挡在封印前，而非你面前。印模沉重迟缓，转身时可攻。趁冷取下，封好登记，禁止拓取印记。	它拼死不让第七道封印遭受击打，那就直奔第七道。威胁那道完好的封印，它便必须挡在封印前，而非你面前。印模沉重迟缓，转身时可攻。趁冷取下，封好登记，禁止拓取印记。
data.bestiary.data.guild.notes.spectre.iron.and.courtesy.both.pass.through	Iron and courtesy both pass through it, and the old rites alone give it pause. Members without a working of the rites keep a wall at their back and their business brief.	钢铁与礼让都穿过它，只有古老仪式能让它停顿。未掌握仪式能力的会员，应背靠墙壁，尽快办完差事。	钢铁与礼让都穿过它，只有古老仪式能让它停顿。未掌握仪式术法的会员，应背靠墙壁，尽快办完差事。
data.bestiary.data.guild.notes.stone.mourner.leave.an.offering.in.its.cupped	Leave an offering in its cupped hands, a numbered tag or a coin, and it kneels again to its post while you pass, for the fight is with the withholding and never the mourner. Where the offering is spent, the stone hands fall as a block falls, so take the first fall on a pillar. The hands are bought as dressed stone.	在合拢的手里放一份供品，一块编号身份牌或一枚钱币即可。它便跪回原位，让你通过；它为供品迟缺而战，并不攻击献祭者。供品用尽后，石手会如巨石坠下，第一次要借柱挡住。双手按切整石材收购。	在合拢的手里放一份供品，一块编号身份牌或一枚钱币即可。它便跪回原位，让你通过；要对付的是供奉的短缺，从来不是悼念者本身。供品用尽后，石手会如巨石坠下，第一次要借柱挡住。双手按切整石材收购。
data.bestiary.data.guild.notes.troll.fire.or.the.work.is.rented	Fire, or the work is rented. A troll entered in the ledger without a burning is entered as pending, and the Guild sends an auditor after the word.	必须焚烧，才算彻底完成差事。未烧过的巨魔只能在账册上登记为待结，公会接到报告后会派核查员去。	要么用火，要么这份差事只是租来的。未经焚烧便登入账册的巨魔一律记作待结，公会接报后会派核查员随后前往。
data.bestiary.data.guild.notes.unbound.working.it.keeps.its.circuit.to.the	It keeps its circuit to the minute, and the survey has the timetable. Stand aside for its passing and take it at the turn, where the old dismissal was cut to catch it.	它巡行的时间精确到分，勘测队存有时刻表。经过时让开，在转弯处攻击，旧时解除法术的位置就刻在那里。	它巡行准到分钟，勘测队存有时刻表。它经过时让开，在转弯处攻击，那里刻有旧时为截住它而设的驱散术法。
data.bestiary.data.guild.notes.vampire.spawn.in.the.open.dark.it.is	In the open dark it is swift past all parrying, so make it come to the lamp, and the lamp evens the account. Tell-Tale Glow marks the fang worth the taking.	在空旷黑暗中，它快得无法格挡。引到灯旁，便能拉平差距。「显宝微光」会标出值得取走的尖牙。	在空旷黑暗中，它快得无法格挡。引它到灯旁来，灯光自会把账扯平。「显宝微光」会标出值得取走的尖牙。
data.bestiary.data.guild.notes.wall.warden.he.challenges.by.the.old.form	He challenges by the old form, and the old form is written on the gatehouse board; give it back word for word and he shoulders his arm. The frozen halberd is bought as it stands and never thawed.	他按旧式口令盘问，原文写在门楼布告上。逐字答回，他就会扛起武器。冻戟须按原样送来收购，绝不可解冻。	他按旧式口令盘问，口令原文写在门楼告示板上。逐字答回，他便收戟上肩。冻戟按原样收购，绝不解冻。
data.bestiary.data.monster.lore.basilisk.a.great.eight.legged.reptile.whose.gaze	A great eight-legged reptile whose gaze turns living flesh to stone. The statues in its lair were not carved.	这种巨大的八足爬行动物能用目光将活物化为石头。巢穴中的石像都是曾经的猎物。	这种巨大的八足爬行动物能用目光将活物化为石头。它巢穴中的石像，并非雕刻而成。
data.bestiary.data.monster.lore.bog.lantern.a.cold.thing.of.the.peat	A cold thing of the peat that carries its own pale light at a lantern's height and moves at a walking pace. It leads toward the deep cuttings and holds its place at the lip of them until whoever follows is committed to the ground.	泥炭中冰冷的东西，在提灯的高度举着自己的淡光，以步行速度移动。它将人引向深沟，守在沟沿，直到跟随者踩上无法退回的地面。	泥炭中冰冷的东西，在提灯的高度举着自己的淡光，以步行速度移动。它将人引向深沟，守在沟沿不动，直到跟随者陷进泥里，就此入土。
data.bestiary.data.monster.lore.bone.devil.a.gaoler.fiend.of.the.deep.prison	A gaoler-fiend of the deep prison, hook-limbed and patient, set to keep the debtors to their cells. It works the gallery on a warder's round, and its sting carries a venom that turns the wound cold and the count against you. It herds before it kills.	地下监狱的魔鬼狱卒，肢体弯钩般尖利，耐心看守债徒。它按狱卒的路线巡视长廊，尾刺的毒液会令伤口冰冷，使你的处境更坏。它先将猎物赶拢，再下手杀死。	地下监狱的魔鬼狱卒，肢体弯钩般尖利，耐心看守债徒。它按狱卒的路线巡视长廊，尾刺的毒液会令伤口冰冷，计数也随之对你不利。它先将猎物赶拢，再下手杀死。
data.bestiary.data.monster.lore.cast.off.apprentice.a.copy.of.the.master.poured	A copy of the master, poured and quickened and judged wanting, turned out into the halls to shift for itself. It remembers the workings and the grievance both.	主人的一具复制体，浇铸、赋生后被判为不合格，赶到厅堂中自谋生路。它记得法术，也记得这份怨恨。	主人的一具复制体，浇铸、赋生后被判为不合格，赶到厅堂中自谋生路。它记得那些术法，也记得这份怨恨。
data.bestiary.data.monster.lore.cockatrice.a.fowl.of.ill.temper.with	A fowl of ill temper with a serpent's tail, whose bite turns flesh to stone by degrees. The menagerie bred them for the yard, and the yard has been theirs for an age.	脾气暴躁的禽兽，拖着蛇尾，啄咬会让血肉逐步石化。兽苑原本饲养它们看守庭院，如今庭院已由它们占据了漫长岁月。	脾气暴躁的禽兽，拖着蛇尾，啄咬会让血肉逐步石化。兽苑原本饲养它们看守庭院，如今庭院早已是它们的天下。
data.bestiary.data.monster.lore.coin.shade.a.gold.lit.shade.risen.from.the	A gold-lit shade risen from the warm coin of the Bottom, thin as the glow of the thing breathing beneath. It keeps to the hoard it was struck for, and it pulls the heat out of a caller into the cold gold it wears, and sinks back into the coin when it has fed.	巨口之底的温热钱币中升起一抹金色阴影，薄如地下呼吸之物的微光。它守着铸出自己的宝藏，从访客身上抽走热量，传入披着的冷金；吃饱后便沉回钱币。	自巨口之底的温热钱币中升起的金色阴影，薄如下方呼吸之物的微光。它守着当初为之铸造的那批宝藏，从访客身上抽走热量，传入所披的冷金；吃饱后便沉回钱币。
data.bestiary.data.monster.lore.coin.wyrm.a.long.gold.scaled.serpent.that.swims	A long gold-scaled serpent that swims the warm coin of the Bottom as a snake swims sand, seen only when the deep air lies dead and still and close. It surfaces in the calm to bask in the glow of the thing breathing, its scales struck from the same coin it swims, and it sinks back into the hoard the moment the air stirs. Where it has passed, the coin lies warmer, and the glow shows the track of it a while.	长长的金鳞蛇，在底部温热的钱币中游动，如蛇穿沙。只有地下空气死寂、滞重而不流动时才会现身。它浮出，沐浴呼吸之物的光芒，鳞片也由身下同样的钱币压成；空气一动便钻回宝藏。它走过的钱币更暖，光中还会暂留一道踪迹。	长长的金鳞蛇，在巨口之底温热的钱币中游动，如蛇穿沙。只有地下空气死寂、滞重而不流动时才会现身。它浮出，沐浴呼吸之物的光芒，鳞片也由身下同样的钱币压成；空气一动便钻回宝藏。它走过的钱币更暖，光中还会暂留一道踪迹。
data.bestiary.data.monster.lore.drider.a.horror.wearing.a.drow.s.shoulders	A horror wearing a drow's shoulders upon a great spider's body, exiled below by its own kind. It weaves its grudges into the silk.	巨蛛躯体上长着卓尔的上半身，被同族放逐到这里。它怀着怨恨，在通道中结下蛛网。	巨蛛躯体上长着卓尔的上半身，被同族放逐到地下。它把怨恨织进蛛丝。
data.bestiary.data.monster.lore.duergar.overseer.a.grey.dwarf.of.the.deep	A grey dwarf of the deep roads, joyless and exact, that works gangs of the pressed and the purchased. It carries the pick as its badge of office, and its whistle orders the dark about it by rote.	地下道路中的灰矮人，严苛冷漠，驱使被强征或买来的劳工。它以镐为职权标志，吹响哨子，命令周围黑暗中的人按章劳作。	地下道路中的灰矮人，阴沉刻板，驱使被强征或买来的劳工。它以镐为职权标志，哨声一板一眼地号令着四周的黑暗。
data.bestiary.data.monster.lore.gallows.crow.a.crow.grown.large.and.bold	A crow grown large and bold upon the gibbets of the moor road, black to the beak and heavy in the air. It attends the living rather than the dead, and it calls its fellows down the moment a traveller stumbles.	荒原道绞架上的乌鸦长得硕大而大胆，连喙都乌黑，飞行沉重。它盯着活人，等旅人一绊倒就召唤同类飞来。	在荒原道绞架上养得硕大而胆壮的乌鸦，从羽到喙一身乌黑，飞起来沉甸甸的。它守候的是活人而非死人，旅人一绊倒，它便立刻唤同类飞下。
data.bestiary.data.monster.lore.gargoyle.a.predator.of.living.stone.patient	A predator of living stone, patient as the rock it mimics. It may perch motionless for years awaiting prey.	活石构成的捕食者，像它伪装的岩石一样耐心。它能一动不动地栖在高处，等上多年才遇到猎物。	活石构成的捕食者，像它伪装的岩石一样耐心。它可以一动不动地栖在高处，一等数年，静候猎物。
data.bestiary.data.monster.lore.ghost.the.remainder.of.one.who.died	The remainder of one who died attending the court and was never entered as departed. It keeps to the antechambers by the road it walked in life, passing through the shut doors of the offices, and its touch ages the living toward their own entry upon the Roll.	一位死在宫廷中、却从未登记离去的出席者留下的亡魂。它循着生前的路线徘徊于前厅，穿过各办事房关闭的门；它的触碰会使活人衰老，更早迎来名列荣誉名册的时刻。	一位死在宫廷中、却从未被登记为亡故的出席者留下的亡魂。它循着生前的路线徘徊于前厅，穿过各办事房关闭的门；它的触碰会使活人衰老，更早被录入名册。
data.bestiary.data.monster.lore.giant.rat.these.loathsome.rodents.grow.to.the	These loathsome rodents grow to the size of small dogs and infest the upper workings. They attack boldly when hungry, and they are always hungry.	这些可憎的啮齿兽能长到小狗那么大，遍布上层坑道。饥饿时它们会悍然进攻，而这里的巨鼠从未吃饱过。	这些可憎的啮齿兽能长到小狗那么大，遍布上层坑道。饥饿时它们会悍然进攻，而它们无时不饿。
data.bestiary.data.monster.lore.giant.spider.a.hunting.spider.grown.monstrous.in	A hunting spider grown monstrous in the dark. It spins its snares across the passages and waits with inhuman patience.	在黑暗中长成巨物的猎蛛。它横跨通道织下罗网，能耐心等待猎物许久。	在黑暗中长成巨物的猎蛛。它横跨通道织下罗网，以非人的耐心静候。
data.bestiary.data.monster.lore.goblin.shard.bearer.a.goblin.of.the.emptied.warren	A goblin of the emptied warren, gone below and changed by its cargo. It carries a sliver of the black stone strapped to its back with rope and reverence, and it defends the burden before its own life.	它来自已经空了的地精巢穴，下到这里后被运载的东西改变。它用绳索将一片黑石绑在背上，虔敬相待，保护黑石胜过保护自己的性命。	它来自已经空了的地精巢穴，下到深处后，被自己背负之物改变。它用绳索将一片黑石绑在背上，虔敬相待，保护黑石胜过保护自己的性命。
data.bestiary.data.monster.lore.grey.ooze.a.creeping.slime.that.passes.for	A creeping slime that passes for wet stone and eats through steel at its leisure. The pitted floors of the vaults are its ledger.	缓慢爬行的黏液，看起来像潮湿石头，能一点点蚀穿钢铁。穹窟地面布满的蚀坑标出了它走过的路。	缓慢爬行的黏液，看起来像潮湿石头，能不紧不慢地蚀穿钢铁。穹窟地面上的累累蚀坑，便是它的账簿。
data.bestiary.data.monster.lore.incubus.a.fiend.of.the.castle.s.upper	A fiend of the castle's upper rooms that visits the sleeping and takes what it needs a little at a time. It wears whatever face the sleeper trusts, and it has had three hundred years to learn which faces those are.	城堡楼上房间的魔怪，探访熟睡的人，一点点取走所需之物。它戴着睡者信任的面孔，已有三百年学会该用哪些脸。	城堡楼上房间的魔怪，探访熟睡的人，一点点取走所需之物。它戴着睡者信任的面孔；该戴哪些脸，它已用三百年学会了。
data.bestiary.data.monster.lore.kennel.brute.a.brute.of.the.castle.kennels	A brute of the castle kennels, kept in the runs on a short chain and fed what the hunt left. It came down into the village lanes when the house was buried, and it keeps the lanes yet, collared still.	城堡犬舍的凶兽，曾被短链拴在犬栏里，吃猎群剩下的肉。宅邸被埋时，它下到村巷，如今仍戴着项圈守在那里。	城堡犬舍的凶兽，曾被短链拴在犬栏里，吃猎群剩下的肉。宅中家眷与仆役入土时，它下到村巷，如今仍戴着项圈守在那里。
data.bestiary.data.monster.lore.last.clerk.the.lich.s.own.clerk.the.last	The Lich's own clerk, the last but one upon the Roll, kept at the enrolling of a new season that never comes. It sits the vault's second desk, copies the count in a fair hand, and defends the record before its own unlife. Its inkhorn is dried to a crust in a grip that will not open.	巫妖自己的书记员，名册上的倒数第二人，仍在登记一个永不会到来的新季度。它坐在宝库第二张书桌前，用工整笔迹抄录数目，保护记录胜过保护自己的亡灵之躯。攥紧不放的墨角里，墨汁早已干结。	巫妖自己的书记员，名册上的倒数第二人，仍在为永不会到来的新一季登记。它坐在密室第二张书桌前，用工整笔迹抄录计数，保护记录胜过保护自己的亡灵之躯。攥紧不放的墨角里，墨汁早已干结。
data.bestiary.data.monster.lore.last.debtor.the.greatest.of.the.debts.the	The greatest of the debts the deep was dug to bury, risen from the coin at the Bottom to stand between you and the thing beneath it. It is a body grown vast upon the warm hoard, counting, and it fights to keep the last count uncalled, for the calling of it is the collecting.	挖出这片深处，本为埋葬债务，而它是其中最大的一笔。它从底部的钱币中站起，挡在你和地下之物之间。躯体在温热宝藏上长得巨大，仍不停计数；它力保最后一次点数无人喊出，因为喊出的那一刻便是收债。	挖出这片深处，本为埋葬债务，而它是其中最大的一笔。它从巨口之底的钱币中站起，挡在你和地下之物之间。躯体在温热宝藏上长得巨大，仍不停计数；它力保最后一次点数无人喊出，因为喊出的那一刻便是收债。
data.bestiary.data.monster.lore.manticore.a.monster.with.the.body.of	A monster with the body of a lion, the face of a man, and a tail of iron spikes, which it hurls with deadly accuracy.	它有狮子的躯体、人的面孔，尾上生满铁刺。那些尾刺能被它准确地射向猎物，足以致命。	它有狮子的躯体、人的面孔，尾上生满铁刺，射出时又准又狠，足以致命。
data.bestiary.data.monster.lore.mummy.lord.a.warden.of.the.eldest.strata	A warden of the eldest strata, laid in the gallery under mask and seal, that keeps the count of its tomb though its seal was drawn an age ago. It rises whole, commands the lesser dead of the gallery, and its grave-mask hides a face that death has not been let to finish.	最古老地层的一名守封者，戴着面具、封在长廊中。虽早在久远年代被解封，它仍记着墓中的数目。它完整地站起，号令长廊中的低阶死者；葬面下的脸被强留在尚未腐朽的模样。	最古老地层的一名守封者，戴着面具、封在长廊中。虽然它的封印早在久远年代便已撤去，它仍守着其墓的计数。它完整地站起，号令长廊中的低阶死者；葬面下那张脸，死亡未获准完成它的工作。
data.bestiary.data.monster.lore.owlbear.a.horror.with.the.body.of	A horror with the body of a great bear and the visage of an owl, infamous for its ferocity. It attacks on sight and fights to the death.	长着巨熊躯体和猫头鹰面孔的怪兽，以凶暴著称。它一见猎物便进攻，直到死亡才会停下。	长着巨熊躯体和猫头鹰面孔的怪兽，以凶暴著称。它一见人便扑上，至死方休。
data.bestiary.data.monster.lore.purple.worm.a.vast.blind.worm.of.the	A vast blind worm of the deepest deep, the girth of a cart and longer than the eye can follow, that swims the coin of the Bottom as through loose earth. It takes a caller whole with a mouth that fills a gallery, and its sting is a spar of chitin heavy with a venom the sun has never weakened.	最深处的巨型盲虫，粗如货车，长得一眼望不到头，在底部的钱币中游动，如同穿行松土。它张开足以填满长廊的巨口，整吞访客；几丁质尾刺长如桅杆，蓄满从未被阳光削弱的毒液。	最深处的巨型盲虫，粗如货车，长得一眼望不到头，在巨口之底的钱币中游动，如同穿行松土。它张开足以填满长廊的巨口，整吞访客；几丁质尾刺长如桅杆，蓄满从未被阳光削弱的毒液。
data.bestiary.data.monster.lore.roper.a.pillar.of.living.stone.with	A pillar of living stone with one yellow eye and a fistful of gripping strands, planted where the road narrows. Whole caravans have gone into that patience.	一根活石柱，生着一只黄眼和一束能攫握的触丝，立在道路收窄处。曾有整支商队落入它的口中。	一根活石柱，生着一只黄眼和一束能攫握的触丝，立在道路收窄处。曾有整支商队葬送在这份耐心里。
data.bestiary.data.monster.lore.salamander.a.serpent.of.living.fire.kept	A serpent of living fire kept in the Last Vault against the hour the jar is fed to the flame. It coils about the laid hearth, warms the black stone of the vault, and takes any that near the mantel for the tender come at last to light the fire. Its coil sears through mail.	活火组成的蛇，被养在最后密室中，等候将陶罐投入火焰的时刻。它盘绕砌好的炉膛，烘热宝库黑石，将靠近壁炉台的人都当成终于来点火的看守。它的盘身能烫穿锁子甲。	活火组成的蛇，被养在最后密室中，等候将陶罐投入火焰的时刻。它盘绕砌好的炉膛，烘热密室的黑石，将靠近壁炉台的人都当成终于来点火的司火人。它的盘身能烫穿锁子甲。
data.bestiary.data.monster.lore.seal.keeper.the.warden.of.the.seven.seals	The warden of the seven seals hung upon the vault wall, that strikes each through in lead as its warden falls and keeps the seventh whole. It fights to keep the seventh seal from the striking, for the striking of the seventh is the count left off. Its signet-die cuts the impression of a door that opens once.	挂在宝库墙上七道封印的守护者。每当一名守封者倒下，它就在相应的铅印上划过一道，却始终保留第七道完整。它拼死阻止第七道被划去，因为那一划会终止计数。印模留下的，是一扇只开一次的门。	挂在密室墙上七道封印的守护者。每当一名守封者倒下，它就以铅在相应的封印上划过一道，却始终保留第七道完整。它拼死阻止第七道被划去，因为那一划意味着计数中止。印模留下的，是一扇只开一次的门。
data.bestiary.data.monster.lore.spectre.the.unquiet.remainder.of.one.who	The unquiet remainder of one who died in the halls and was catalogued rather than buried. Its touch draws the warmth from the living, and doors are nothing to it.	死在这些厅堂里的人留下的不安亡魂。他被编入收藏，却未获安葬。它的触碰会抽走活人的体温，房门也拦不住它。	死在这些厅堂中、未获安葬却被编目入册之人留下的不安残魂。它的触碰会抽走活人的体温，房门也拦不住它。
data.bestiary.data.monster.lore.stirge.a.bat.winged.horror.with.a.needle.sharp	A bat-winged horror with a needle-sharp proboscis, by which it fastens upon its prey and drains the blood. It strikes swiftly, and from above.	这种长着蝙蝠翅膀的怪物有针一样锋利的口器，能钉住猎物，吸干血液。它从上方迅速扑下。	这种长着蝙蝠翅膀的怪物有针一样锋利的口器，借此叮附猎物，吸干其血。它出击迅疾，且自上而下。
